,Time,Turnover_S,Turnover_M,Turnover_D
106,107,0.9930486593843099,0.2518891687657431,0.0
107,108,1.1528084375766494,0.33368091762252344,0.0
108,109,1.1887433284813196,0.4968944099378882,0.0
109,110,1.3728323699421965,0.4930156121610517,1.9047619047619049
110,111,0.8121342410127791,0.6941608819926501,0.0
111,112,0.40184375369341685,0.36548223350253806,0.0
112,113,0.3965477023559599,0.4029820672980053,0.9090909090909091
113,114,0.2542764678687009,0.32044862807931107,0.0
114,115,0.7584463341760515,0.4374627162457745,0.0
115,116,0.43388901575702216,0.19657951641438962,0.8547008547008548
116,117,0.47635250085062947,0.3899395593682979,0.0
117,118,0.6976482502531788,0.3491755577109602,0.0
118,119,0.9389671361502347,0.2697495183044316,0.0
119,120,1.175426923929918,0.5358851674641149,1.6
120,121,1.4038166264531697,0.877527661198016,0.0
